,Headlines,label
14147,Mushroom corals change from male to female and back again,-1
5483,Manson Family killer Susan Atkins dies in prison,-1
4189,New South Wales water supply problems continue,-1
14046,"After 10 Years and 2,000 Deaths, China Still Presses Its Crusade Against Falun Gong",-1
138,Pakistan : New policy on renewable energy launched,-1
15748,India-China border talks resume,-1
12902,Kohlberg Plan Would Mean Listing in Amsterdam,-1
3866,Casey Stoner wins 2011 British MotoGP,-1
14409,Troubled Bank Loans Hit a Record High,-1
8930,Two-and-a-half tonnes of marijuana destroyed in Afghan school,-1
11955,Web Start-Ups Look Beyond Ads for Revenue,-1
10283,U.S. and Belarus in Dispute Over Inmate,-1
8147,US Justice Department to withdraw Stevens charges,-1
15593,New York Assembly passes same-sex marriage bill,-1
1919,Suspect Is Held in Slaying of Chechen Exile,-1
2735,US Student reveals book visit a hoax,-1
11873,Detroit Mayoral Candidate Admits Making False Claims About His Education,-1
5726,Suit Says Medical Firms Urged Unapproved Use of Devices,-1
6788,French police arrest two women wearing veils after burqa ban goes into effect,-1
7152,Hurricane Ophelia hits U.S. East Coast,-1
3726,New Guidance Issued on Military Trials of Detainees,-1
230,"Hser Nar Moo, missing Utah girl, found dead",-1
13304,Senate Likely to Vote on Sotomayor in August,-1
15957,Obama announces choice for Secretary of Housing,-1
11598,G.M. Is Said to Be Close to Selling Saab,-1
5449,Australian warship sunk as artificial reef,-1
7852,Founder of Satyam Is Said to Have Siphoned Cash,-1
9763,Time Does Not Heal All Wounds for Ailing Mets,-1
11424,North Korea to rejoin six-nation talks,-1
13721,At least twenty dead after landslides in Tanzania,-1
2279,Former Sudanese rebel leader John Garang sworn in as vice president of Sudan,-1
4614,18 People Rescued After Civilian Helicopter Goes Down Off the Coast of Scotland,-1
10008,"Explosives pass security checks in Slovakia, arrive in Ireland in failed test",-1
5039,Exit poll: 55% of French voters say no to EU constitution,-1
444,Election complaint against Fred Thompson,-1
15327,A.I.G. Sells Its Japanese Headquarters for $1.2 Billion,-1
6981,Death Penalty Is Repealed in New Mexico,-1
4574,Nine oil workers die as helicopter crashes in Siberia,-1
10943,Norway gunman defends actions as 'gruesome but necessary',-1
3997,"AFC Asian Cup: Iraq shock Australia, Japan overcome UAE",-1
10955,British Property Investors Returning to Market,-1
8813,Boy arrested for murder after seventeen-year-old run over by bus,-1
4674,"India buys 250,000 OLPC laptops",-1
11614,"Inquest held after air rifle shot kills 10-year-old boy in Swansea, Wales",-1
3636,Scientists proudly display oldest crystal on Earth,-1
8509,"For Palm, Some Tough Smartphone Acts to Follow",-1
4736,BBC World Service to drop five languages,-1
10158,Air Berlin to code-share with American Airlines and Finnair by November,-1
9442,Where Jobs Ride on a Luxury on Wheels,-1
15003,World Summit on the Information Society ends in Tunisia,-1
9385,Senator Ted Stevens loses re-election bid in Alaska ballot,-1
1306,Trial begins for Canadian soldier accused of murder in battlefield killing,-1
11014,"Former US First Lady, Lady Bird Johnson dies at 94",-1
15202,Canadian neighbourhood protected from bully for three years,-1
1227,"Investors, Mindful of Negative Data, Sell Holdings",-1
8176,Petition urges Apple to remove 'anti-gay' app,-1
13053,UK car crash in Leicestershire kills six,-1
85,"In Reporting a Scandal, the Media Are Accused of Just Listening",-1
3639,US and South Korea to conduct naval exercises in response to warship sinking,-1
12095,Future of Biofuels Expected to Remain Bright,-1
10460,Georgia State Is Latest College to See Football as Growth Industry,-1
13648,Spirit of Bipartisanship Spreads to Political Consultants,-1
1604,Zenit rocket explodes on launch pad,-1
12795,British television presenter Richard Whiteley dies,-1
9057,"American disc jockey ""DJ AM"" dies at 36 of suspected drug overdose",-1
10828,Mike Rodgers and Carmelita Jeter Win U.S. Titles in 100,-1
10930,Nebraska Bill Would Give Sum to Falsely Imprisoned,-1
928,Three shot dead at University of Alabama in Huntsville,-1
5464,Afghan president Hamid Karzai opens new terminal at Kabul International Airport,-1
15599,Seven killed in Chinese bombing,-1
4396,Former rugby union commentator Bill McLaren dies at age 86,-1
12980,"Despite Odds, Cities Race to Bet on Biotech",-1
1274,UN passes LGBT rights resolution,-1
650,Australia Ends Ban on Shorting Financial Stocks,-1
11344,London bomb suspect returned from Italy,-1
7909,"At Cornell, a Player With an N.B.A. Pedigree Stands Out",-1
831,Endangered Luzon Buttonquail photographed alive by Philippines documentary,-1
15279,Illinois jurors begin fifth day of deliberations in Blagojevich corruption trial,-1
6406,American tourist killed in Beijing,-1
15388,Eleven dead after Belarus subway bombing,-1
3689,Russian territory expands by 4.5 square kilometres after seismic activity,-1
12040,Makeup Oscar nominee list narrowed to seven,-1
1204,Islamist militants blow up girls' school in Pakistan,-1
12167,Cricket: India beats the West Indies by 16 runs,-1
5734,Researchers discover last common ancestor of apes and monkeys,-1
12158,Judge Will Rule in a Week on Merrill Bonus List,-1
12837,Blu-ray prevails in high definition disc war,-1
8599,Beijing 2008 Olympics comes to a close,-1
7502,"Madoffs Worth $823 Million, Court Filing Says",-1
12897,Downturn Hurts Expectations in Portland,-1
15601,A New Round of Worries Pushes Shares Lower,-1
15094,"Haitian minister: Over 150,000 dead in capital after earthquake",-1
9241,"No talks until IRA ""criminal activity"" dealt with",-1
9933,Double-Amputee Sprinter Oscar Pistorius Hurt in Boating Accident,-1
5019,Rule Change for Workers on Farms,-1
3827,Can New G.M. Pay for the Old G.M.?,-1
15863,Brittany Ray Scores 26 as Rutgers Beats Notre Dame,-1
14621,David Ahenakew removed from the Order of Canada,-1
1829,NPD Group Gives Perfume Makers a Whiff of Sales Data,-1
11998,"Good Intentions Aside, Are We Killing the Patient?",-1
8640,Knicks Find Another Way to Lose,-1
2831,"Green-Light Specials, Now at Wal-Mart",-1
15057,The Body as Billboard: Your Ad Here,-1
3807,European Union Council to accept software patent directive,-1
6806,13 missing from ship off coast of Madagascar; two rescued,-1
9272,Inventor of instant noodles passes away,-1
11220,Calgary Stampeders win 2008 Grey Cup in Montreal,-1
12952,"Fear and loathing on the campaign trail, June 2008",-1
1522,Israeli troops remove protesters from Gaza synagogues,-1
4960,Schoolboy dies in Israel after bus hit by rocket from Gaza,-1
1255,Church of Scientology falsely accuses internet group 'Anonymous' of 2007 school shooting,-1
8392,Apple Said to Be in Talks to Sell IPhone for Verizon,-1
10816,Pope Benedict XVI heads to the UK amid protests,-1
4142,Suicide attack at Yemen shrine leaves nine dead,-1
818,Unicef: African children orphaned by AIDS could top 18 million,-1
4701,Mass industrial walkouts in UK,-1
10670,"Honduras deploys 8,000 troops to ensure peaceful elections",-1
11662,Evo Morales wins presidential elections in Bolivia,-1
2429,Cyclists Eager for Action on Blood-Profile Antidoping Plan,-1
5959,"By Existing, a Fledgling Minor-League Hockey League Declares Victory",-1
1856,Karzai visits UK for talks with new PM,-1
6139,"1 in 7 Freed Detainees Said to Be Militant Fighters, Pentagon Report Says",-1
12060,"Explosion, steam eruption near Grand Central Terminal in New York City",-1
10986,Spanish economy contracts 1% in second quarter,-1
670,Study Looks at Mortality in Post-Soviet Era,-1
11862,Head of UBS Investment Bank Unit Steps Down,-1
173,"Pakistan government must investigate killings and abductions of journalists, says UN",-1
14480,Chargers Consider Loss a Learning Experience,-1
14069,Fiji's War of the Ribbons,-1
13110,Carolina Eliminates Devils With Two Late Goals,-1
4704,Maoists in India Briefly Seize Passenger Train,-1
7261,Chip Ganassi makes American motor sports history,-1
2178,"In Britain and Spain, More Signs of Slowdown",-1
6735,Mayor declares weather emergency in New York City,-1
12616,Penske Auto selected to buy General Motors' Saturn unit,-1
2539,Signs of Life as Deals Pick Up on Madison Avenue,-1
1119,Crackdowns on Protesters Drape Tehran in Silence,-1
10551,Texas man arrested after rescuing drowning swimmer,-1
15317,Chicago House Race Draws a Crowd,-1
